date,name,types,size,rate,special
09-02,Life Storage,,,,
,,Outside,5x10,109,none
,,Outside,10x10,139,none
,,Outside,10x15,159,none
,,Outside,10x20,199,none
date,name,types,size,rate,special
09-02,Life Storage,,,,
,,Outside,5x10,109,"
 Next Month Free!
"
,,Outside,10x10,139,"
 Next Month Free!
"
,,Outside,10x15,159,"
 Next Month Free!
"
,,Outside,10x20,199,none
date,name,types,size,rate,special
09-02,Life Storage Cave,,,,
,,Outside,5x10,109,"
 Next Month Free!
"
,,Outside,10x10,139,"
 Next Month Free!
"
,,Outside,10x15,159,"
 Next Month Free!
"
,,Outside,10x20,199,none
date,name,types,size,rate,special
09-02,Life Storage,,,,
,,Outside,5x10,109, Next Month Free!
,,Outside,10x10,139, Next Month Free!
,,Outside,10x15,159, Next Month Free!
,,Outside,10x20,199,none
date,name,types,size,rate,special
09-02,Life Storage,,,,
,,Outside,5x10,109, Next Month Free!
,,Outside,10x10,139, Next Month Free!
,,Outside,10x15,159, Next Month Free!
,,Outside,10x20,199,none
date,name,types,size,rate,special
09-02,Life Storage,,,,
,,Outside,5x10,109, Next Month Free!
,,Outside,10x10,139, Next Month Free!
,,Outside,10x15,159, Next Month Free!
,,Outside,10x20,199,none
date,name,types,size,rate,special
09-02,Life Storage,,,,
,,Outside,5x10,109, Next Month Free!
,,Outside,10x10,139, Next Month Free!
,,Outside,10x15,159, Next Month Free!
date,name,types,size,rate,special
09-02,Life Storage,,,,
,,Outside,5x10,109, Next Month Free!
,,Outside,10x10,139, Next Month Free!
,,Outside,10x15,159, Next Month Free!
date,name,types,size,rate,special
09-07,Clarkson,,,,
,,Inside,5 x 5,$36,none
,,Inside,5 x 10,$62,none
,,Drive Up,5 x 10,$83,none
,,Drive Up,5 x 15,$90,none
,,Drive Up,10 x 10,"<div>Call for Details
<br>
<span class=""action_phone"">636-200-8069</span></div>",none
,,Inside,10 x 10,$108,none
,,Inside,10 x 15,"<div>Call for Details
<br>
<span class=""action_phone"">636-200-8069</span></div>",none
,,Drive Up,10 x 20,$207,none
,,Drive Up,10 x 40,"<div>Call for Details
<br>
<span class=""action_phone"">636-200-8069</span></div>",none
date,name,types,size,rate,special
09-07,Ninety Four,,,,
,,Drive Up,5 x 6,$40,$20WebSpecial50%OffFirst2Months
,,Drive Up,6 x 12,$73,$37WebSpecial50%OffFirstMonth
,,Drive Up,8 x 10,$92,none
,,Drive Up,10 x 12,$125,$63WebSpecial50%OffFirstMonth
,,Drive Up,12 x 12,$140,$70WebSpecialFirstTwoMonths
,,Drive Up,10 x 16,$154,SecondMonthFree
,,Drive Up,10 x 24,$209,$178WebSpecialOnlineOnly
date,name,types,size,rate,special
09-07,A Storage Inn Clarkson,,,,
,,Inside,5 x 5,$36,
,,Inside,5 x 10,$62,
,,Drive Up,5 x 10,$83,
,,Inside,5 x 15,$90,
,,Drive Up,5 x 15,$108,
,,Drive Up,10 x 10,$207,
,,Outside,10 x 10,none,
,,Outside,10 x 15,none,
,,Outside,10 x 20,none,
,,Outside,10 x 25,none,
,,Outside,10 x 40,none,
date,name,types,size,rate,special
09-07,Public Storage,,,,
,,Outside,10' x 10',$73.50/mo.,$1†1st Month
,,Outside,10' x 15',$192/mo.,$1†1st Month1st Month
,,Outside,10' x 20',$117.50/mo.,$95/mo.Online Special†$106 In-store
,,Outside,10' x 30',$257/mo.,$73.50/mo.
date,name,types,size,rate,special
09-07,ExtraSpace,,,,
,,"Indoor, Drive Up Access",5' x 15',$151,First Month Free
,,"Indoor, Drive Up Access",10' x 10',$169,First Month Half Off
,,"Indoor, Drive Up Access",10' x 25',$320,First Month Free
,,"Indoor, Drive Up Access",10' x 30',$376,First Month Free
date,name,types,size,rate,special
09-10,Life Storage,,,,
,,Outside,5x10,39,INCOMPLETE
,,Outside,10x10,124,INCOMPLETE
,,Outside,10x15,179,INCOMPLETE
,,Outside,10x20,195,INCOMPLETE
,,Outside,10x25,205,INCOMPLETE
,,Outside,10x30,245,INCOMPLETE
date,name,types,size,rate,special
09-11,Public Storage,,,,
,,Outside,10' x 14',$149/mo.,$50/mo.Online Special†$55 In-store1st Month
date,name,types,size,rate,special
09-13,Public Storage,,,,
date,name,types,size,rate,special
09-13,Public Storage,,,,
,,Outside,5' x 8',$59/mo.,Details
,,Outside,10' x 10',$111/mo.,$1†1st Month
,,Outside,10' x 20',$128/mo.,$59/mo.Online Special†$70 In-store
,,Outside,10' x 15',$148/mo.,$1†1st Month
,,Outside,10' x 24',$159/mo.,$111/mo.Online Special†$131 In-store
date,name,types,size,rate,special
09-13,Public Storage,,,,
,,Outside,5' x 8',$59/mo.,1st Month
,,Outside,10' x 10',$111/mo.,1st Month
,,Outside,10' x 20',$128/mo.,1st Month
,,Outside,10' x 15',$148/mo.,1st Month
,,Outside,10' x 24',$159/mo.,1st Month
date,name,types,size,rate,special
09-20,Public Storage,,,,
date,name,types,size,rate,special
09-20,Public Storage,,,,
,,Outside,10' x 14',$154/mo.,Broken
date,name,types,size,rate,special
09-20,Public Storage,,,,
,,Outside,10' x 14',$154/mo.,Broken
date,name,types,size,rate,special
09-20,Public Storage,,,,
date,name,types,size,rate,special
09-20,Public Storage,,,,
